text,gender,age
Coffee has negative effects when combined with antidepressants and anxiety medication as it makes me too jittery,Female,18-22
Yes. Have definitely had wayyyy too much [coffee] so I have detoxes when I can,Male,18-22
Yes. Too much sugar intake,Female,18-22
It [coffee] makes me jittery if I have too much. I definitely watch my intake because I don't like feeling hyper.,Female,23-29
I find that drinking coffee affects my mental health because it makes me more nervous.,Prefer not to say (Gender),18-22
Sometimes I get jitters,Female,23-29
No not really. I don’t drink enough of coffee to know the impacts. And if I do drink coffee it would have a lot of sugar and milk.,Female,18-22
not really- unless i drink it [coffee] first think in the morning on an empty stomach. i spend the next 30 mins on the toilet,Female,23-29
Gut health? It [coffee] makes me having diarrhea if I take it in the morning sometime not always I don't know when it doest when does not. It makes me full and I am not able to have lunch at the proper time if I have coffee sometime around noon.,Female,23-29
Constipation is a gift of coffee,Female,30-35
No but haven't added any value. I would say [coffee] also dehydrates and makes focus hard although increases attention,Male,30-35
Just stomachache :),Female,23-29
Yes. It [coffee] ruined my stomach and gave me acid reflux.,Male,23-29
It [coffee] gives me nausea and heart palpitations,Female,23-29
Yes- I get headaches & I get more anxious (jittery & uncomfortable physical feelings). Also coffee poops haha (fr tho :/),Female,18-22
I find that my sleep schedule is better without coffee as it makes me less jittery and more relaxed for sleep.,Prefer not to say (Gender),18-22
I don't drink coffee after 6 pm - I turn off the white light an hour before going to bed and reduce the light and keep the yellow one,Female,23-29
I don't think drinking coffee has impacted my sleep that much mainly since I really drink coffee sometimes a week at campus. not everyday.,Male,18-22
Coffee does not affect my sleep quality.,Male,40-50
Its [sleep] shit but tbh thats kinda my fault. Ive had good sleep days even if I had coffee throughout the day- in my opinion,Female,18-22
